"","V1","sample_code","Code","D1(cm)","D2(cm)","D3(cm)","D4(cm)","Length(cm)","FW(g)","DW(g)","Bark(%)","Watercontent(g)","Waterpercentage","Notes","DiamClass","Plot...16","SubPlot","Class","Species","Areacm2","Volcm3","X","ID","slope","rsq","Month","Day","Hour","Min","Sample_code1","Sample_code2","ATMP","Date","Time","DateTime","Loc...36","ReadIndex","TimeZone","T1","T2","T3","Soil_moist","Shake","Err_flag","Code_sens","Sensornumber","Serial","Plot...48","Subplot","Loc...50","T3K","chambervolume","respiration","RespCorrectedArea","RespCorrectedVolume","Density_g_cm3","RespCorrectedgrams","sample_density","resp_g_kg_day"
"603",592,"185","25-P3S5C1FS",27.9,26.8,26.9,25.2,100.7,3009.3,1719.79,98,1289.51,42.8508290964676,NA,25,3,5,"1","FS",9567.41337065009,56393.3198694372,80,"83_185_7_27",0.859340659340653,0.870794292712098,7,27,16,55,185,0,0.9010397,2021-07-27,"16:55:00",2021-07-27 16:55:00,"3_5",29512,4,15.625,17.75,19.375,1676,202,0,94206496,6,"TMS-94206496",3,5,"3_5",293.525,1.5637,0.050268920256242,0.000640043771413858,0.0001085866792486,0.757301836,0.000176759816082579,0.614317674996166,0.671970116819533
"604",593,"186","25-P3S5C2FS",22.2,21.8,23.2,25.2,97.2,1777,1070.69,95,706.31,39.7473269555431,NA,25,3,5,"2","FS",7894.42579489978,40766.9524675316,81,"84_186_7_27",3.61978021978021,0.992188634455818,7,27,16,58,186,0,0.9010397,2021-07-27,"16:58:00",2021-07-27 16:58:00,"3_5",29512,4,15.625,17.75,19.375,1676,202,0,94206496,6,"TMS-94206496",3,5,"3_5",293.525,1.5637,0.211746577140744,0.0026960411547791,0.000522082116718209,0.756291371,0.00102178357277328,0.510951761830735,3.88441243025489
"605",594,"187","25-P3S5C4FS",30,28.6,27.2,26.8,99.1,3085,1297.56,65,1787.44,57.9397082658023,NA,25,3,5,"4","FS",10011.3928733059,61710.8985172752,82,"85_187_7_27",1.52087912087911,0.983859303090072,7,27,17,1,187,0,0.9010397,2021-07-27,"17:1:00",2021-07-27 17:01:00,"3_5",29416,4,15.375,18.75,21.5625,1694,202,0,94206496,6,"TMS-94206496",3,5,"3_5",295.7125,1.5637,0.0883088659933138,0.00112438340333405,0.000182409335489595,0.716321543,0.000437457932694007,0.416975717793616,1.66304007692954
"606",595,"300","01-P3S5C1AA-S",1.2,1.1,0.8,0.8,31.8,7.68,5.345,100,2.335,30.2271955611898,NA,1,3,5,"1","AA",213.81326401242,51.1565166738111,32,"30_300+301_7_27",0.0481974451576658,0.822038072938371,7,27,10,20,300,301,0.9000528,2021-07-27,"10:20:00",2021-07-27 10:20:00,"3_5",29486,4,15.6875,19.8125,23,1691,202,0,94206496,6,"TMS-94206496",3,5,"3_5",297.15,1.306706,0.00223373698196141,1.04471394339299e-05,4.36647591978237e-05,0.652140449,5.82159722924177e-05,0.75004775284859,0.221313840266855
"607",596,"305","01-P3S5C2AA-F",1.4,1.5,1,1.1,37.8,8.825,5.78,100,3.045,34.3732579437764,NA,1,3,5,"2","AA",298.309092239266,88.7755179042221,33,"31_305+306_7_27",0,0.506356445544316,7,27,10,22,305,306,0.89995411,2021-07-27,"10:22:00",2021-07-27 10:22:00,"3_5",29486,4,15.6875,19.8125,23,1691,202,0,94206496,6,"TMS-94206496",3,5,"3_5",297.15,1.306706,0,0,0,0.629171053,0,0.512555311128587,0
"608",597,"320","01-P3S5C4FS-S",1.2,1.2,0.8,0.8,36.1,9.68,6.255,67.5,3.425,34.8080108795356,NA,1,3,5,"4","FS",280.155529048431,82.5640656292994,34,"32_320+321_7_27",0.0744277929155269,0.926827063363439,7,27,10,25,320,321,0.89995411,2021-07-27,"10:25:00",2021-07-27 10:25:00,"3_5",29486,4,15.6875,19.8125,23,1691,202,0,94206496,6,"TMS-94206496",3,5,"3_5",297.15,1.306706,0.00336274144429456,1.20031236067921e-05,4.07288742222649e-05,0.471248175,6.56845647051592e-05,0.620067658286024,0.249706441183133
"609",598,"308","01-P3S5C4AA-S",1.2,1.3,0.8,0.9,37.9,9.87,6.41,77.5,3.46,34.3071607656088,NA,1,3,5,"4","AA",269.795419789539,82.3541679701315,35,"33_308+309_7_27",0.182322888283368,0.987109010620719,7,27,10,28,308,309,0.89995411,2021-07-27,"10:28:00",2021-07-27 10:28:00,"3_5",29486,4,15.6875,19.8125,23,1691,202,0,94206496,6,"TMS-94206496",3,5,"3_5",297.15,1.306706,0.00823899023116623,3.0537917350833e-05,0.000100043391054043,0.525368421,0.000232870214764174,0.429610077679347,0.885279408447483
"610",599,"316","01-P3S5C2FS-S",1.5,1.4,1,1,39.1,10.2,5.705,95,4.495,44.1752263180835,NA,1,3,5,"2","FS",280.073440507935,77.7557926231333,36,"34_316+317_7_27",1.67281447737186,0.999722718652617,7,27,10,31,316,317,0.89995411,2021-07-27,"10:31:00",2021-07-27 10:31:00,"3_5",29390,4,15.0625,19.1875,22.75,1742,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.9,1.306706,0.0759406242792206,0.000271145397226872,0.000976655522596105,0.675972782,0.00185060224314632,0.527750102007677,7.03524948754503
"611",600,"191","10-P3S5C1FS",9.2,10.6,10.6,10,40.4,400.5,251.98,90,148.52,37.083645443196,NA,10,3,5,"1","FS",1442.21093938723,3237.2091203969,38,"36_191_7_27",1.61079962969394,0.962529921602645,7,27,10,41,191,0,0.89995411,2021-07-27,"10:41:00",2021-07-27 10:41:00,"3_5",29487,4,15.6875,19.6875,22.6875,1691,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.8375,11.661397,0.501363940299948,0.000347635652044748,0.000154875363825269,0.773739998,0.000246217490897265,0.629018528541057,0.936020413395044
"612",601,"192","10-P3S5C2FS",9.6,9.8,10,9.6,39.8,233.6,173.42,96,60.18,25.7619863013699,NA,10,3,5,"2","FS",1368.42374404598,2971.57018277629,39,"37_192_7_27",0.634569961281116,0.85324710129474,7,27,10,44,192,0,0.89995411,2021-07-27,"10:44:00",2021-07-27 10:44:00,"3_5",29391,4,15.125,19.25,22.8125,1741,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.9625,11.661397,0.203653236128207,0.000148823226003132,6.85338806091859e-05,0.697125933,0.000147528273131364,0.464547433210723,0.560843483136195
"613",602,"192","10-P3S5C2FS",9.6,9.8,10,9.6,39.8,233.6,173.42,96,60.18,25.7619863013699,NA,10,3,5,"2","FS",1368.42374404598,2971.57018277629,77,"75_192_7_27",1.35184289855626,0.999669471462101,7,27,13,32,192,0,0.9000528,2021-07-27,"13:32:00",2021-07-27 13:32:00,"3_5",29499,4,15.75,19.25,22.3125,1685,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.4625,11.661397,0.434627794709248,0.000317611994530434,0.000146261998867946,0.697125933,0.000314848362969213,0.464547433210723,1.19692753666376
"614",603,"191","10-P3S5C1FS",9.2,10.6,10.6,10,40.4,400.5,251.98,90,148.52,37.083645443196,NA,10,3,5,"1","FS",1442.21093938723,3237.2091203969,78,"76_191_7_27",2.47499115011939,0.999010544139547,7,27,13,35,191,0,0.89995411,2021-07-27,"13:35:00",2021-07-27 13:35:00,"3_5",29499,4,15.75,19.25,22.3125,1685,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.4625,11.661397,0.771319343287765,0.000534817287972788,0.000238266764549705,0.773739998,0.000378791329251206,0.629018528541057,1.44001311728139
"615",604,"308","01-P3S5C4AA-S",1.2,1.3,0.8,0.9,37.9,9.87,6.41,77.5,3.46,34.3071607656088,NA,1,3,5,"4","AA",269.795419789539,82.3541679701315,79,"77_308+309_7_27",0.369856786508834,0.994394166913736,7,27,13,43,308,309,0.89995411,2021-07-27,"13:43:00",2021-07-27 13:43:00,"3_5",29499,4,15.75,19.25,22.3125,1685,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.4625,1.306706,0.0167522195366912,6.20923051612929e-05,0.000203416778404791,0.525368421,0.000473491635726053,0.429610077679347,1.80002580237616
"616",605,"306","01-P3S5C2AA-W",1.3,1.3,1,1,40.2,8.825,5.78,100,3.045,34.3732579437764,NA,1,3,5,"2","AA",298.309092239266,88.7755179042221,80,"78_306+305_7_27",0.0894527668079031,0.959029272593412,7,27,13,45,306,305,0.89995411,2021-07-27,"13:45:00",2021-07-27 13:45:00,"3_5",29403,4,15.25,19,22,1690,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.15,1.306706,0.00403465900902113,1.35250956607955e-05,4.54478791481006e-05,0.579799587,8.95753612438202e-05,0.507370313856659,0.340529693304507
"617",606,"300","01-P3S5C1AA-S",1.2,1.1,0.8,0.8,31.8,7.68,5.345,100,2.335,30.2271955611898,NA,1,3,5,"1","AA",213.81326401242,51.1565166738111,81,"79_300+301_7_27",0.113751042078019,0.948357207301868,7,27,13,48,300,301,0.89995411,2021-07-27,"13:48:00",2021-07-27 13:48:00,"3_5",29500,4,15.75,19.25,22.3125,1683,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.4625,1.306706,0.00528350041616962,2.47108168923641e-05,0.000103281082444662,0.652140449,0.000137699342545075,0.75004775284859,0.523477820619358
"618",607,"320","01-P3S5C4FS-S",1.2,1.2,0.8,0.8,36.1,9.68,6.255,67.5,3.425,34.8080108795356,NA,1,3,5,"4","FS",280.155529048431,82.5640656292994,82,"80_320+321_7_27",0.157761327194525,0.993173014139152,7,27,13,51,320,321,0.9000528,2021-07-27,"13:51:00",2021-07-27 13:51:00,"3_5",29500,4,15.75,19.25,22.3125,1683,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.4625,1.306706,0.0071451685440157,2.5504292448858e-05,8.65408999612067e-05,0.471248175,0.000139566866300398,0.620067658286024,0.530577398927595
"619",608,"316","01-P3S5C2FS-S",1.5,1.4,1,1,39.1,10.2,5.705,95,4.495,44.1752263180835,NA,1,3,5,"2","FS",280.073440507935,77.7557926231333,83,"81_316+317_7_27",1.95371693699423,0.999859695572987,7,27,13,54,316,317,0.89995411,2021-07-27,"13:54:00",2021-07-27 13:54:00,"3_5",29500,4,15.75,19.25,22.3125,1683,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.4625,1.306706,0.088823617585478,0.000317144022740569,0.00114234084161406,0.675972782,0.00216454878410889,0.527750102007677,8.22874865766835
"620",609,"313","01-P3S5C1FS-F",1.3,1.3,1,1,40.8,9.76,6.98,100,2.78,28.4458531675784,NA,1,3,5,"1","FS",281.342453336602,76.4907125314409,84,"82_313+312_7_27",0.0886797600902806,0.933000811182046,7,27,13,57,313,312,0.9000528,2021-07-27,"13:57:00",2021-07-27 13:57:00,"3_5",29500,4,15.75,19.25,22.3125,1683,202,0,94206496,6,"TMS-94206496",3,5,"3_5",296.4625,1.306706,0.00403632176777907,1.43466502119037e-05,5.27687824338148e-05,0.702224237,7.92057190879976e-05,0.666224396942709,0.301108461684931
"621",610,"321","01-P3S5C4FS-F",1.3,1.2,1.4,1.4,39,9.68,6.255,67.5,3.425,34.8080108795356,NA,1,3,5,"4","FS",280.155529048431,82.5640656292994,123,"121_321+320_7_27",0.0636938137254266,0.971980235007426,7,27,17,29,321,320,0.89985542,2021-07-27,"17:29:00",2021-07-27 17:29:00,"3_5",29418,4,15.375,18.625,21.5,1695,202,0,94206496,6,"TMS-94206496",3,5,"3_5",295.65,1.306706,0.0028920501036119,1.03230163382281e-05,3.50279517071843e-05,0.774257174,6.32183303566405e-05,0.554079038620243,0.240330804683804
"622",611,"316","01-P3S5C2FS-S",1.5,1.4,1,1,39.1,10.2,5.705,95,4.495,44.1752263180835,NA,1,3,5,"2","FS",280.073440507935,77.7557926231333,124,"122_316+317_7_27",1.80243329499248,0.999376556629689,7,27,17,33,316,317,0.89985542,2021-07-27,"17:33:00",2021-07-27 17:33:00,"3_5",29515,4,15.5,17.625,19.125,1675,202,0,94206496,6,"TMS-94206496",3,5,"3_5",293.275,1.306706,0.0828272251546517,0.000295733951082395,0.00106522256876859,0.675972782,0.00201842228872387,0.527750102007677,7.67323417281265
"623",612,"312","01-P3S5C1FS-S",1.3,1.2,0.8,0.8,40.4,9.76,6.98,100,2.78,28.4458531675784,NA,1,3,5,"1","FS",281.342453336602,76.4907125314409,125,"123_312+313_7_27",0.372835226076109,0.98668727638688,7,27,17,36,312,313,0.89985542,2021-07-27,"17:36:00",2021-07-27 17:36:00,"3_5",29515,4,15.5,17.625,19.125,1675,202,0,94206496,6,"TMS-94206496",3,5,"3_5",293.275,1.306706,0.0171505353768743,6.09596425049838e-05,0.000224217225977922,0.878054913,0.000262805184279567,0.853168960850498,0.999080188557202
"624",613,"192","10-P3S5C2FS",9.6,9.8,10,9.6,39.8,233.6,173.42,96,60.18,25.7619863013699,NA,10,3,5,"2","FS",1368.42374404598,2971.57018277629,126,"124_192_7_27",1.21632529074813,0.999671537185861,7,27,17,42,192,0,0.89975673,2021-07-27,"17:42:00",2021-07-27 17:42:00,"3_5",29515,4,15.5,17.625,19.125,1675,202,0,94206496,6,"TMS-94206496",3,5,"3_5",293.275,11.661397,0.395178081884722,0.00028878341493572,0.000132986285895329,0.697125933,0.000286270628977957,0.464547433210723,1.0882864231226
"625",614,"191","10-P3S5C1FS",9.2,10.6,10.6,10,40.4,400.5,251.98,90,148.52,37.083645443196,NA,10,3,5,"1","FS",1442.21093938723,3237.2091203969,127,"125_191_7_27",2.2125773766376,0.997958079049473,7,27,17,45,191,0,0.89975673,2021-07-27,"17:45:00",2021-07-27 17:45:00,"3_5",29419,4,15.375,18.625,21.5,1695,202,0,94206496,6,"TMS-94206496",3,5,"3_5",295.65,11.661397,0.691282658429441,0.000479321463698753,0.000213542787234173,0.773739998,0.00033948568689934,0.629018528541057,1.29058878731653
"626",615,"158","25-P3S3C1AA",22.9,24.9,20,21.5,94.8,1967,932.14,97,1034.86,52.6110828673106,NA,25,3,3,"1","AA",7436.60594896078,37170.7281600684,26,"25_158_7_27",2.52307692307692,0.990979772915257,7,27,10,2,158,0,0.8990659,2021-07-27,"10:2:00",2021-07-27 10:02:00,"3_3",29484,4,16.125,20.5,23.75,2558,202,0,94206499,9,"TMS-94206499",3,3,"3_3",297.9,1.5637,0.145106504550844,0.00184755339792427,0.000369632968470776,0.595360745,0.000776126256705914,0.476253657542262,2.9505215774932
"627",616,"159","25-P3S3C2AA",23.1,23.4,22.5,22.3,98.2,1699,1006.62,98,692.38,40.7522071806945,NA,25,3,3,"2","AA",7860.31702180744,40185.8472311085,27,"26_159_7_27",4.23296703296702,0.992432900988828,7,27,10,5,159,0,0.8990659,2021-07-27,"10:5:00",2021-07-27 10:05:00,"3_3",29484,4,16.125,20.5,23.75,2558,202,0,94206499,9,"TMS-94206499",3,3,"3_3",297.9,1.5637,0.243445233244708,0.00309964097944437,0.00060628709933874,0.441156289,0.00123223695879111,0.492021518274815,4.68447202254027
"628",617,"160","25-P3S3C4AA",22.8,22.1,22,21,88,1016.4,349.46,75,666.94,65.6178669815034,NA,25,3,3,"4","AA",6834.1933137909,33380.893256951,28,"27_160_7_27",1.47252747252747,0.921311879156063,7,27,10,8,160,0,0.8990659,2021-07-27,"10:8:00",2021-07-27 10:08:00,"3_3",29484,4,16.125,20.5,23.75,2558,202,0,94206499,9,"TMS-94206499",3,3,"3_3",297.9,1.5637,0.0846875941193949,0.00107827593781295,0.000220759407122467,0.642858485,0.00119795195237887,0.184280685618558,4.5541341421635
"629",618,"161","25-P3S3C1FS",27,27.2,28.3,29,99.1,2843,1660.42,100,1182.58,41.5962011959198,NA,25,3,3,"1","FS",9900.1169390308,60493.0073070846,29,"28_161_7_27",1.01978021978022,0.935662755323773,7,27,10,15,161,0,0.8990659,2021-07-27,"10:15:00",2021-07-27 10:15:00,"3_3",29388,4,15.4375,19.875,23.125,2612,202,0,94206499,9,"TMS-94206499",3,3,"3_3",297.275,1.5637,0.0587726250241176,0.000748316303285979,0.000122467360108361,0.666750843,0.000225056747544574,0.544162134415034,0.855575731465453
"630",619,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,30,"29_162_7_27",3.43516483516482,0.988302044795774,7,27,10,18,162,0,0.8990659,2021-07-27,"10:18:00",2021-07-27 10:18:00,"3_3",29485,4,16.125,20.25,23.125,2558,202,0,94206499,9,"TMS-94206499",3,3,"3_3",297.275,1.5637,0.197977614035981,0.00252072927162927,0.000496605356797531,0.622579399,0.00110672384667703,0.44871659564272,4.20732137552738
"631",619,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,30,"29_162_7_27",3.43516483516482,0.988302044795774,7,27,10,18,162,0,0.8990659,2021-07-27,"10:18:00",2021-07-27 10:18:00,"3_3",29485,4,16.125,20.25,23.125,2558,202,0,94206499,9,"TMS-94206499",3,3,"3_3",297.275,1.5637,0.197977614035981,0.00252072927162927,0.000496605356797531,0.622579399,0.00110672384667703,0.44871659564272,4.20732137552738
"632",620,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,30,"29_162_7_27",3.43516483516482,0.988302044795774,7,27,10,18,162,0,0.8990659,2021-07-27,"10:18:00",2021-07-27 10:18:00,"3_3",29485,4,16.125,20.25,23.125,2558,202,0,94206499,9,"TMS-94206499",3,3,"3_3",297.275,1.5637,0.197977614035981,0.00252072927162927,0.000496605356797531,0.930559283,0.00110672384667703,0.44871659564272,4.20732137552738
"633",620,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,30,"29_162_7_27",3.43516483516482,0.988302044795774,7,27,10,18,162,0,0.8990659,2021-07-27,"10:18:00",2021-07-27 10:18:00,"3_3",29485,4,16.125,20.25,23.125,2558,202,0,94206499,9,"TMS-94206499",3,3,"3_3",297.275,1.5637,0.197977614035981,0.00252072927162927,0.000496605356797531,0.930559283,0.00110672384667703,0.44871659564272,4.20732137552738
"634",621,"163","25-P3S3C4FS",26,28.2,25.3,28.5,98.5,3170,1179.63,60,1990.37,62.7876971608833,NA,25,3,3,"4","FS",9500.19619815382,56396.9510923959,31,"30_163_7_27",1.87912087912087,0.955931870933996,7,27,10,21,163,0,0.8990659,2021-07-27,"10:21:00",2021-07-27 10:21:00,"3_3",29485,4,16.125,20.25,23.125,2558,202,0,94206499,9,"TMS-94206499",3,3,"3_3",297.275,1.5637,0.108298694818147,0.0013789018088567,0.000232279182976864,0.899623434,0.000563705010305355,0.412058042292439,2.14298096717684
"635",622,"158","25-P3S3C1AA",22.9,24.9,20,21.5,94.8,1967,932.14,97,1034.86,52.6110828673106,NA,25,3,3,"1","AA",7436.60594896078,37170.7281600684,54,"56_158_7_27",2.16923076923077,0.981288246226372,7,27,13,56,158,0,0.8990659,2021-07-27,"13:56:00",2021-07-27 13:56:00,"3_3",29499,4,16.25,19.375,22.125,2556,202,0,94206499,9,"TMS-94206499",3,3,"3_3",296.275,1.5637,0.125440461060262,0.00159715755531737,0.000319537226339851,0.595360745,0.000670939154543912,0.476253657542262,2.55064228991414
"636",623,"159","25-P3S3C2AA",23.1,23.4,22.5,22.3,98.2,1699,1006.62,98,692.38,40.7522071806945,NA,25,3,3,"2","AA",7860.31702180744,40185.8472311085,55,"57_159_7_27",4.17582417582417,0.992712773271002,7,27,13,59,159,0,0.8990659,2021-07-27,"13:59:00",2021-07-27 13:59:00,"3_3",29403,4,15.75,19.125,21.9375,2557,202,0,94206499,9,"TMS-94206499",3,3,"3_3",296.0875,1.5637,0.24162898168852,0.00307651574639912,0.000601763823721493,0.441156289,0.00122304371124147,0.492021518274815,4.64952297265558
"637",624,"160","25-P3S3C4AA",22.8,22.1,22,21,88,1016.4,349.46,75,666.94,65.6178669815034,NA,25,3,3,"4","AA",6834.1933137909,33380.893256951,56,"58_160_7_27",1.49230769230768,0.941082454761634,7,27,14,3,160,0,0.8990659,2021-07-27,"14:3:00",2021-07-27 14:03:00,"3_3",29500,4,16.25,19.375,22.1875,2556,202,0,94206499,9,"TMS-94206499",3,3,"3_3",296.3375,1.5637,0.0862777195055596,0.00109852204304047,0.000224904466870004,0.642858485,0.00122044513843156,0.184280685618558,4.63964423826143
"638",625,"161","25-P3S3C1FS",27,27.2,28.3,29,99.1,2843,1660.42,100,1182.58,41.5962011959198,NA,25,3,3,"1","FS",9900.1169390308,60493.0073070846,57,"59_161_7_27",0.389010989010975,0.459470558040623,7,27,14,11,161,0,0.8990659,2021-07-27,"14:11:00",2021-07-27 14:11:00,"3_3",29500,4,16.25,19.375,22.1875,2556,202,0,94206499,9,"TMS-94206499",3,3,"3_3",296.3375,1.5637,0.022490657367428,0.000286359943472986,4.6864870060854e-05,0.666750843,8.61229900004583e-05,0.544162134415034,0.327405158785742
"639",626,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,58,"60_162_7_27",2.97582417582417,0.99103519109141,7,27,14,14,162,0,0.9000528,2021-07-27,"14:14:00",2021-07-27 14:14:00,"3_3",29404,4,15.75,19.125,22,2557,202,0,94206499,9,"TMS-94206499",3,3,"3_3",296.15,1.5637,0.172345077820005,0.0021943656842089,0.000432308921793283,0.622579399,0.000963434216588456,0.44871659564272,3.66259151778267
"640",626,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,58,"60_162_7_27",2.97582417582417,0.99103519109141,7,27,14,14,162,0,0.9000528,2021-07-27,"14:14:00",2021-07-27 14:14:00,"3_3",29404,4,15.75,19.125,22,2557,202,0,94206499,9,"TMS-94206499",3,3,"3_3",296.15,1.5637,0.172345077820005,0.0021943656842089,0.000432308921793283,0.622579399,0.000963434216588456,0.44871659564272,3.66259151778267
"641",627,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,58,"60_162_7_27",2.97582417582417,0.99103519109141,7,27,14,14,162,0,0.9000528,2021-07-27,"14:14:00",2021-07-27 14:14:00,"3_3",29404,4,15.75,19.125,22,2557,202,0,94206499,9,"TMS-94206499",3,3,"3_3",296.15,1.5637,0.172345077820005,0.0021943656842089,0.000432308921793283,0.930559283,0.000963434216588456,0.44871659564272,3.66259151778267
"642",627,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,58,"60_162_7_27",2.97582417582417,0.99103519109141,7,27,14,14,162,0,0.9000528,2021-07-27,"14:14:00",2021-07-27 14:14:00,"3_3",29404,4,15.75,19.125,22,2557,202,0,94206499,9,"TMS-94206499",3,3,"3_3",296.15,1.5637,0.172345077820005,0.0021943656842089,0.000432308921793283,0.930559283,0.000963434216588456,0.44871659564272,3.66259151778267
"643",628,"163","25-P3S3C4FS",26,28.2,25.3,28.5,98.5,3170,1179.63,60,1990.37,62.7876971608833,NA,25,3,3,"4","FS",9500.19619815382,56396.9510923959,59,"61_163_7_27",1.97362637362636,0.975945200174275,7,27,14,17,163,0,0.8990659,2021-07-27,"14:17:00",2021-07-27 14:17:00,"3_3",29501,4,16.25,19.375,21.875,2556,202,0,94206499,9,"TMS-94206499",3,3,"3_3",296.025,1.5637,0.114225598588131,0.00145436549143453,0.000244991213972122,0.899623434,0.000594555108326828,0.412058042292439,2.26026069981527
"644",629,"158","25-P3S3C1AA",22.9,24.9,20,21.5,94.8,1967,932.14,97,1034.86,52.6110828673106,NA,25,3,3,"1","AA",7436.60594896078,37170.7281600684,83,"86_158_7_27",1.32747252747253,0.971030077189247,7,27,17,9,158,0,0.8990659,2021-07-27,"17:9:00",2021-07-27 17:09:00,"3_3",29512,4,16.1875,17.875,19.5,2554,202,0,94206499,9,"TMS-94206499",3,3,"3_3",293.65,1.5637,0.0774501795977716,0.000986126314107233,0.000197290534162705,0.595360745,0.000414255158019858,0.476253657542262,1.57483240872829
"645",630,"159","25-P3S3C2AA",23.1,23.4,22.5,22.3,98.2,1699,1006.62,98,692.38,40.7522071806945,NA,25,3,3,"2","AA",7860.31702180744,40185.8472311085,84,"87_159_7_27",3.14945054945054,0.989325727665376,7,27,17,13,159,0,0.8990659,2021-07-27,"17:13:00",2021-07-27 17:13:00,"3_3",29512,4,16.1875,17.875,19.5,2554,202,0,94206499,9,"TMS-94206499",3,3,"3_3",293.65,1.5637,0.183751833383454,0.002339601006814,0.00045762393691334,0.441156289,0.000930089274383601,0.492021518274815,3.5358273854967
"646",631,"160","25-P3S3C4AA",22.8,22.1,22,21,88,1016.4,349.46,75,666.94,65.6178669815034,NA,25,3,3,"4","AA",6834.1933137909,33380.893256951,85,"88_160_7_27",1.10109890109889,0.894499385256855,7,27,17,16,160,0,0.8990659,2021-07-27,"17:16:00",2021-07-27 17:16:00,"3_3",29416,4,15.8125,18.75,21.375,2558,202,0,94206499,9,"TMS-94206499",3,3,"3_3",295.525,1.5637,0.0638350195307462,0.000812772712054875,0.000166401953105328,0.642858485,0.00090298097462999,0.184280685618558,3.43277247315337
"647",632,"161","25-P3S3C1FS",27,27.2,28.3,29,99.1,2843,1660.42,100,1182.58,41.5962011959198,NA,25,3,3,"1","FS",9900.1169390308,60493.0073070846,86,"89_161_7_27",0.351648351648355,0.520960520960519,7,27,17,20,161,0,0.9000528,2021-07-27,"17:20:00",2021-07-27 17:20:00,"3_3",29513,4,16.1875,17.875,19.3125,2554,202,0,94206499,9,"TMS-94206499",3,3,"3_3",293.4625,1.5637,0.0205522477605713,0.00026167934581954,4.28257122511932e-05,0.666750843,7.87002798297059e-05,0.544162134415034,0.29918698380061
"648",633,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,87,"90_162_7_27",3.01978021978021,0.979768120154032,7,27,17,25,162,0,0.8990659,2021-07-27,"17:25:00",2021-07-27 17:25:00,"3_3",29513,4,16.1875,17.875,19.3125,2554,202,0,94206499,9,"TMS-94206499",3,3,"3_3",293.4625,1.5637,0.176298905245171,0.00224470737851669,0.00044222666875044,0.622579399,0.000985536690741326,0.44871659564272,3.74661628352222
"649",633,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,87,"90_162_7_27",3.01978021978021,0.979768120154032,7,27,17,25,162,0,0.8990659,2021-07-27,"17:25:00",2021-07-27 17:25:00,"3_3",29513,4,16.1875,17.875,19.3125,2554,202,0,94206499,9,"TMS-94206499",3,3,"3_3",293.4625,1.5637,0.176298905245171,0.00224470737851669,0.00044222666875044,0.622579399,0.000985536690741326,0.44871659564272,3.74661628352222
"650",634,"162","25-P3S3C2FS",21.5,23.8,23.3,22,98,148.7,904,98,-755.3,-507.935440484196,NA,25,3,3,"2","FS",7779.2470717364,39486.8390695936,87,"90_162_7_27",3.01978021978021,0.979768120154032,7,27,17,25,162,0,0.8990659,2021-07-27,"17:25:00",2021-07-27 17:25:00,"3_3",29513,4,16.1875,17.875,19.3125,2554,202,0,94206499,9,"TMS-94206499",3,3,"3_3",293.4625,1.5637,0.176298905245171,0.00224470737851669,0.00044222666875044,0.930559283,0.000985536690741326,0.44871659564272,3.74661628352222
